date,original_tweet_text,tweet
Thu Feb 03 19:21:14 +0000 2022,"@zarazettirazr Rupanya bs ya.

Tp kok permohonan @aniesbaswedan tuk stop PTM di sekolah2, tdk diberi ijin oleh the real president.",rupanya permohonan stop ptm sekolah tidak diberi ijin oleh real presiden
Thu Feb 03 19:15:08 +0000 2022,"03.02.'22🍦
Hari ini belajar PTM seruuu, soalnya ada materi debat dan sempet jamkos juga sksks. Wish me luck, besok PH Math 😔👍 https://t.co/PTE2ltBu0u",belajar ptm seru soalnya ada materi debat sempat jam kosong wkwk wish luck besok ph mat
Thu Feb 03 19:13:32 +0000 2022,"@subschfess pjj, karna kalo ptm sama aja ga banyak dijelasin materi jd bingung &amp; kalo ptm, pulang sekolah mau belajar rasanya capek. tp kl pjj, aku bs lebih produktif",pjj karena kalau ptm sama aja banyak dijelasin materi jadi bingung kalau ptm pulang sekolah mau belajar rasanya capek kalau pjj aku lebih produktif
Thu Feb 03 19:12:34 +0000 2022,"@convomf masih ptm 100%. alhamdulilah kotaku masih level 1. kalau udah masuk level 2, ya otomatis balik ptm 50% U____U",ptm alhamdulilah kota level kalau sudah masuk level otomatis balik ptm
Thu Feb 03 19:09:15 +0000 2022,gamau daring pls 😢😢😢 ptm 50% aja 😫😫😫😫,gamau daring pls ptm aja
Thu Feb 03 19:04:50 +0000 2022,nih yh walau kadang anak kelas ngeselin tp kalo ptm 100% seru,yh walau kadang anak kelas ngeselin kalau ptm seru
Thu Feb 03 19:04:01 +0000 2022,"@warriorReborn_ Makanya opung luhut ttp mau PTM ya apa pun yg terjadi takut di Gitmo kan ? 🤭😁
Cuma2 antek2 wakanda sialan msh kekeuh png covid berjilid2...😡👹",makanya opung luhut tetap mau ptm terjadi takut gitmo cuma antek wakanda sialan msh kekeuh png covid berjilid
Thu Feb 03 19:03:48 +0000 2022,sama aja. Beneran penyebarannya tetep ga terkontrol. Mau PTM atau PJJ juga sama aja. Sekalipun lu di rumah aja juga sama aja. Beneran sama aja. Out of nowhere lu bisa aja terpapar. Bahkan vaksin pun cuma meringankan gejala dan sama sekali ga bisa melindungi elu. Belum lagi-,sama aja beneran penyebarannya tetap terkontrol mau ptm pjj sama aja sekalipun rumah aja sama aja beneran sama aja nowhere aja terpapar vaksin cuma meringankan gejala sama sekali melindungi elu belum lagi
Thu Feb 03 19:03:37 +0000 2022,"@dimas_skeptis @Rega84409356 @fadlizon Kalau @yunartowijaya punya anak usia sekolah dan dia tidak ingin PTM, bijimana ?",kalau punya anak usia sekolah tidak ingin ptm
Thu Feb 03 19:03:28 +0000 2022,"@schfess Nope, ptm 1000x lebih baik dripd pjj. Yg prokes aja jgn kendor😌",nope ptm lebih baik pjj prokes aja jangan kendor
Thu Feb 03 19:02:50 +0000 2022,"RT @PartaiSocmed: Pak @jokowi, DPR saja sudah melakukan pembatasan aktivitas mengapa kebijakan sekolah wajib PTM 100% belum dicabut? Apa ha…",dpr saja sudah melakukan pembatasan aktivitas mengapa kebijakan sekolah wajib ptm belum dicabut ha
