id,created_at,source,original_tweet,,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.50642E+18,Tue Mar 22 23:59:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",btw good morning hari ini aku ptm hdh,,in,0,0,donjaemin,,,,ʚ she/her 18 || sbt + fa ɞ,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ni sy ptm kok ngantuk bangtt ya, i don't have any energy :(",,in,0,0,hclaudies,,,,orange,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:16 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Eh kalian dah pada ptm 100% lagi?,,in,0,0,brouwgrlzs,,,,read my card byf🛺,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:15 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@milftobio lagi ptm apa pjj kage,,in,0,0,skiesgumi,,,milftobio,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pagiii, kalian udah ptm ato masi pjj nih? aku udah ptm 100% yeayyy",,in,0,0,bisayok336,,,,,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:05 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@00H4ER3N Asik ptm,,in,0,0,brouwgrlzs,,,00H4ER3N,read my card byf🛺,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:03 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lagi ndaa ikut ptm, karena lambungnya mumet trus dari tadi",,in,0,0,pacarnnaTsukII,,,,She/Her INFP-T,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:54 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@probablyurs mornienhh tsay,,,sm donh aqq jugac lagiexh ptm nieexh,,,😰😰😅",,in,0,0,satvurnss,,,probablyurs,they/them | ic: @jiangxhi,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ptm ptm ptm cpek nulis deh,,in,0,0,sunflodyy,,,,,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:34 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@hourlyneyra eh ptm ya maaf ney gue bacanya pts,,in,0,0,roralagi,,,hourlyneyra,dnf kalo ga diajak,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@69stylezx lagi ptm apa pjj,,in,0,0,skiesgumi,,,69stylezx,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mff tp gwe ga suka ptm tengs,,in,0,0,okakazzs,,,,she / they.,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:25 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jamalthings cuma ptm keknya, kamu juga bi!",,in,0,0,nanasenaks,,,jamalthings,,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@skiesgumi ptm but aku blos,,in,0,0,KIK0RUS,,,skiesgumi,she/her,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:58:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kan kmarin dah masuk ptm, aku kesekolahnya naik speda, mana hari itu w very busy banget sampe pulang jam 5, gw biasanya lewat rute lebih jauh kalo pulang, jadi muterin jalan dulu sksk, nah trus aku papasan sama bocil² sepedaan gitu, gw kaget tiba² ada yg bilang semangat ke aku 😭",,in,0,0,9992LEE,,,,nothing special here,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:57:50 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@abcdufucku ptm apa pjj yanc?,,in,0,0,flowersareu,,,abcdufucku,dimana-mana,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:57:42 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dih anj harusnya tadi gw ga ptm,,in,0,0,horimixya,,,,,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:57:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@whirlwindsx ptm nii, pengen pjj jugaaa😭",,in,0,0,flowersareu,,,whirlwindsx,dimana-mana,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:57:33 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@lovingt0m bell hari ini ptm apa pjj,,in,0,0,skiesgumi,,,lovingt0m,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:57:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@reckIessc Ptmt bukan ptm😀🙏,,in,0,0,sumberproblem,,,reckIessc,,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:57:24 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@dokjaaslvtn hari ini kamu ptm apa pjj,,in,0,0,skiesgumi,,,dokjaaslvtn,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:57:17 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ptm lagi ptm lagi yeah https://t.co/T6jYAYIWe2,,in,0,0,jjaemxh,FALSE,,,kinda ia,
,,,,,,,,,,,,,
